group,dominant_topic,topic_label,topic_prob,sentiment,polarity,subjectivity
sci.crypt,Topic 13,let put,0.386,Negative,-0.067,0.443
sci.med.treatment,Topic 13,let put,0.284,Neutral,-0.027,0.488
talk.politics.misc,Topic 13,let put,0.336,Negative,-0.136,0.46
comp.hardware.cpu,Topic 16,file image,0.189,Positive,0.25,0.438
religion.christian.bible,Topic 16,file image,0.309,Negative,-0.2,0.331
politics.guns.control,Topic 13,let put,0.442,Negative,-0.062,0.391
sci.med.disease,Topic 28,patient drug,0.435,Positive,0.133,0.583
talk.religion.misc,Topic 14,god christian,0.291,Positive,0.101,0.563
religion.christian.church,Topic 14,god christian,0.355,Negative,-0.144,0.592
rec.autos.repair,Topic 13,let put,0.358,Negative,-0.069,0.438
comp.sys.mac.hardware,Topic 12,computer system,0.308,Positive,0.242,0.605
misc.forsale,Topic 11,sale new,0.293,Negative,-0.25,0.78
religion.christian.church,Topic 14,god christian,0.177,Positive,0.107,0.312
sci.electronics.devices,Topic 13,let put,0.246,Positive,0.283,0.464
rec.sport.baseball,Topic 13,let put,0.461,Positive,0.319,0.769
comp.graphics.hardware,Topic 13,let put,0.374,Positive,0.249,0.439
politics.guns.control,Topic 6,bit point,0.349,Negative,-0.062,0.499
religion.christian.bible,Topic 14,god christian,0.489,Negative,-0.167,0.611
comp.os.ms-windows.misc,Topic 19,client server,0.283,Neutral,0.016,0.561
sci.space.nasa,Topic 9,space earth,0.305,Positive,0.086,0.368
sci.space.astronomy,Topic 9,space earth,0.463,Positive,0.188,0.501
politics.guns.control,Topic 13,let put,0.358,Neutral,0.0,0.0
comp.os.ms-windows.misc,Topic 12,computer system,0.496,Negative,-0.2,0.367
comp.graphics.software,Topic 16,file image,0.208,Positive,0.335,0.472
sport.hockey.nhl,Topic 13,let put,0.302,Positive,0.084,0.322
comp.os.ms-windows.misc,Topic 16,file image,0.378,Positive,0.109,0.553
alt.atheism,Topic 17,evidence claim,0.387,Positive,0.175,0.589
rec.autos.repair,Topic 13,let put,0.318,Positive,0.231,0.563
politics.guns.control,Topic 13,let put,0.355,Neutral,0.027,0.52
sci.electronics.circuit,Topic 13,let put,0.264,Neutral,-0.033,1.0
comp.os.ms-windows.misc,Topic 19,client server,0.198,Positive,0.467,0.733
sci.space.nasa,Topic 13,let put,0.328,Positive,0.231,0.444
comp.os.ms-windows.misc,Topic 10,key government,0.281,Neutral,0.0,1.0
comp.os.ms-windows.misc,Topic 13,let put,0.414,Positive,0.39,0.657
rec.autos.buying,Topic 6,bit point,0.294,Positive,0.197,0.449
politics.mideast.israel,Topic 30,president of the united states,0.294,Positive,0.089,0.482
comp.os.ms-windows.misc,Topic 22,window set color,0.776,Positive,0.211,0.75
comp.sys.mac.hardware,Topic 12,computer system,0.212,Neutral,0.017,0.133
politics.mideast.israel,Topic 13,let put,0.233,Negative,-0.8,0.8
religion.christian.bible,Topic 17,evidence claim,0.294,Negative,-0.15,0.383
comp.sys.mac.hardware,Topic 11,sale new,0.335,Negative,-0.067,0.45
religion.christian.bible,Topic 14,god christian,0.487,Neutral,0.028,0.389
rec.sport.baseball,Topic 13,let put,0.343,Positive,0.213,0.547
alt.atheism,Topic 17,evidence claim,0.243,Positive,0.065,0.589
comp.hardware.cpu,Topic 13,let put,0.309,Neutral,0.033,0.233
rec.autos.repair,Topic 20,mile a car,0.239,Positive,0.151,0.506
rec.motorcycles,Topic 13,let put,0.476,Positive,0.412,0.68
sport.hockey.nhl,Topic 13,let put,0.398,Neutral,0.03,0.367
sci.space.astronomy,Topic 9,space earth,0.619,Positive,0.196,0.41
sci.electronics.circuit,Topic 13,let put,0.216,Positive,0.191,0.502
sci.space.nasa,Topic 13,let put,0.269,Neutral,0.0,0.0
sci.electronics.circuit,Topic 13,let put,0.249,Positive,0.051,0.418
sci.crypt,Topic 10,key government,0.377,Positive,0.168,0.682
rec.motorcycles,Topic 13,let put,0.55,Neutral,0.0,0.0
religion.christian.bible,Topic 14,god christian,0.492,Positive,0.157,0.409
misc.forsale,Topic 11,sale new,0.282,Positive,0.115,0.477
comp.sys.mac.hardware,Topic 11,sale new,0.33,Positive,0.062,0.319
sci.crypt,Topic 6,bit point,0.246,Positive,0.107,0.559
misc.forsale,Topic 13,let put,0.644,Positive,0.14,0.638
politics.mideast.israel,Topic 7,israel jew,0.365,Positive,0.184,0.374
rec.autos.buying,Topic 22,window set color,0.267,Positive,0.091,0.496
rec.motorcycles,Topic 13,let put,0.289,Positive,0.5,0.5
sport.hockey.nhl,Topic 26,football player vs. football team,0.439,Neutral,0.007,0.42
comp.sys.mac.hardware,Topic 11,sale new,0.428,Positive,0.25,0.25
comp.graphics.software,Topic 22,window set color,0.274,Positive,0.072,0.468
comp.windows.x,Topic 16,file image,0.328,Positive,0.203,0.38
rec.motorcycles,Topic 17,evidence claim,0.459,Positive,0.144,0.494
comp.graphics.software,Topic 16,file image,0.41,Positive,0.266,0.478
sci.electronics.devices,Topic 22,window set color,0.288,Neutral,-0.033,0.382
talk.politics.misc,Topic 30,president of the united states,0.22,Neutral,0.013,0.38
comp.os.ms-windows.misc,Topic 16,file image,0.482,Positive,0.108,0.489
sci.med.disease,Topic 28,patient drug,0.317,Neutral,0.034,0.431
sci.electronics.devices,Topic 12,computer system,0.171,Positive,0.212,0.542
rec.motorcycles,Topic 13,let put,0.54,Positive,0.192,0.557
politics.guns.control,Topic 13,let put,0.61,Positive,0.058,0.544
talk.politics.misc,Topic 30,president of the united states,0.276,Positive,0.19,0.542
comp.sys.mac.hardware,Topic 16,file image,0.162,Positive,0.325,0.37
religion.christian.church,Topic 14,god christian,0.654,Positive,0.125,0.492
comp.windows.x,Topic 22,window set color,0.451,Positive,0.058,0.228
comp.hardware.drives,Topic 13,let put,0.204,Neutral,0.0,0.0
sci.crypt,Topic 12,computer system,0.327,Positive,0.219,0.374
comp.hardware.cpu,Topic 12,computer system,0.449,Neutral,-0.042,0.533
religion.christian.bible,Topic 14,god christian,0.53,Positive,0.128,0.572
sport.hockey.nhl,Topic 15,copy of a page,0.559,Neutral,0.0,0.0
comp.hardware.cpu,Topic 12,computer system,0.345,Positive,0.175,0.398
comp.os.ms-windows.misc,Topic 19,client server,0.256,Positive,0.125,0.278
sci.space.astronomy,Topic 9,space earth,0.516,Positive,0.117,0.419
sci.med.disease,Topic 28,patient drug,0.24,Positive,0.224,0.515
politics.mideast.israel,Topic 6,bit point,0.17,Neutral,-0.041,0.409
talk.religion.misc,Topic 13,let put,0.443,Positive,0.15,0.95
misc.forsale,Topic 11,sale new,0.464,Neutral,0.05,0.25
talk.politics.misc,Topic 4,state law gun,0.225,Neutral,0.037,0.446
misc.forsale,Topic 11,sale new,0.401,Neutral,0.0,0.0
comp.hardware.drives,Topic 12,computer system,0.392,Positive,0.118,0.327
religion.christian.bible,Topic 14,god christian,0.421,Neutral,0.042,0.354
rec.autos.buying,Topic 12,computer system,0.295,Positive,0.139,0.167
religion.christian.bible,Topic 13,let put,0.266,Positive,0.278,0.444
sport.hockey.nhl,Topic 26,football player vs. football team,0.529,Positive,0.067,0.108
rec.motorcycles,Topic 4,state law gun,0.225,Neutral,0.0,0.0
comp.sys.mac.hardware,Topic 12,computer system,0.543,Positive,0.067,0.436
rec.sport.baseball,Topic 26,football player vs. football team,0.357,Positive,0.155,0.513
sci.med.treatment,Topic 13,let put,0.254,Positive,0.104,0.403
sport.hockey.nhl,Topic 13,let put,0.218,Positive,0.109,0.473
alt.atheism,Topic 17,evidence claim,0.449,Positive,0.098,0.517
religion.christian.bible,Topic 17,evidence claim,0.459,Neutral,0.024,0.448
misc.forsale,Topic 26,football player vs. football team,0.198,Negative,-0.567,0.667
talk.religion.misc,Topic 17,evidence claim,0.429,Negative,-0.146,0.567
comp.windows.x,Topic 8,wiki wiki,0.31,Positive,0.35,0.45
politics.guns.control,Topic 13,let put,0.439,Positive,0.112,0.412
rec.autos.buying,Topic 30,president of the united states,0.333,Positive,0.148,0.532
politics.mideast.israel,Topic 4,state law gun,0.241,Positive,0.167,0.167
politics.guns.control,Topic 13,let put,0.24,Positive,0.064,0.48
sport.hockey.nhl,Topic 26,football player vs. football team,0.349,Neutral,-0.036,0.416
misc.forsale,Topic 11,sale new,0.37,Positive,0.131,0.441
comp.sys.mac.hardware,Topic 16,file image,0.265,Positive,0.242,0.46
sport.hockey.nhl,Topic 13,let put,0.167,Positive,0.077,0.262
comp.windows.x,Topic 16,file image,0.346,Positive,0.2,0.2
comp.sys.mac.hardware,Topic 12,computer system,0.299,Positive,0.125,0.481
alt.atheism,Topic 13,let put,0.179,Positive,0.081,0.445
rec.motorcycles,Topic 6,bit point,0.207,Positive,0.202,0.556
comp.os.ms-windows.misc,Topic 13,let put,0.349,Neutral,0.0,0.0
sci.med.disease,Topic 13,let put,0.416,Positive,0.276,0.447
comp.sys.mac.hardware,Topic 9,space earth,0.279,Negative,-0.079,0.451
rec.motorcycles,Topic 13,let put,0.384,Neutral,0.05,0.85
comp.windows.x,Topic 16,file image,0.429,Positive,0.2,0.5
talk.politics.misc,Topic 9,space earth,0.299,Negative,-0.131,0.457
talk.politics.misc,Topic 13,let put,0.31,Neutral,-0.039,0.425
sci.electronics.devices,Topic 13,let put,0.383,Neutral,-0.005,0.343
alt.atheism,Topic 17,evidence claim,0.665,Positive,0.101,0.474
sci.space.astronomy,Topic 13,let put,0.357,Neutral,0.013,0.424
talk.religion.misc,Topic 4,state law gun,0.206,Positive,0.1,0.1
sport.hockey.nhl,Topic 13,let put,0.3,Negative,-0.114,0.402
comp.sys.mac.hardware,Topic 12,computer system,0.498,Positive,0.109,0.597
sci.space.astronomy,Topic 6,bit point,0.34,Positive,0.1,0.2
religion.christian.church,Topic 17,evidence claim,0.248,Positive,0.136,0.384
comp.hardware.drives,Topic 12,computer system,0.351,Neutral,0.0,0.3
politics.guns.control,Topic 13,let put,0.484,Positive,0.138,0.485
sci.crypt,Topic 4,state law gun,0.344,Neutral,0.011,0.456
sci.space.nasa,Topic 9,space earth,0.266,Neutral,0.0,0.0
sci.med.disease,Topic 13,let put,0.307,Positive,0.2,0.233
comp.hardware.drives,Topic 16,file image,0.253,Positive,0.356,0.606
sport.hockey.nhl,Topic 5,bos van,0.36,Positive,0.136,0.455
sci.med.disease,Topic 28,patient drug,0.247,Neutral,0.016,0.544
rec.autos.repair,Topic 20,mile a car,0.239,Neutral,-0.006,0.414
sci.med.disease,Topic 13,let put,0.65,Positive,0.093,0.433
talk.politics.misc,Topic 13,let put,0.325,Positive,0.4,0.408
misc.forsale,Topic 15,copy of a page,0.656,Positive,0.281,0.477
religion.christian.church,Topic 14,god christian,0.539,Positive,0.125,0.385
sport.hockey.nhl,Topic 13,let put,0.318,Neutral,-0.033,0.515
comp.sys.mac.hardware,Topic 22,window set color,0.269,Positive,0.21,0.271
sci.electronics.devices,Topic 13,let put,0.262,Positive,0.25,0.593
talk.politics.misc,Topic 13,let put,0.352,Neutral,0.044,0.39
comp.windows.x,Topic 16,file image,0.351,Positive,0.1,0.1
sci.crypt,Topic 17,evidence claim,0.277,Positive,0.2,0.49
comp.hardware.drives,Topic 12,computer system,0.34,Neutral,0.048,0.43
rec.autos.repair,Topic 13,let put,0.248,Positive,0.17,0.443
talk.politics.misc,Topic 17,evidence claim,0.448,Positive,0.154,0.551
comp.windows.x,Topic 13,let put,0.359,Positive,0.138,0.573
religion.christian.church,Topic 17,evidence claim,0.272,Neutral,0.029,0.456
rec.motorcycles,Topic 20,mile a car,0.231,Neutral,0.0,0.0
sci.space.nasa,Topic 14,god christian,0.267,Positive,0.096,0.574
rec.autos.buying,Topic 13,let put,0.28,Positive,0.053,0.563
sport.hockey.nhl,Topic 26,football player vs. football team,0.417,Neutral,0.009,0.483
comp.windows.x,Topic 22,window set color,0.446,Neutral,-0.001,0.512
alt.atheism,Topic 17,evidence claim,0.313,Positive,0.052,0.547
comp.graphics.software,Topic 22,window set color,0.316,Positive,0.2,0.4
comp.sys.mac.hardware,Topic 16,file image,0.229,Positive,0.176,0.357
alt.atheism,Topic 17,evidence claim,0.459,Positive,0.099,0.505
misc.forsale,Topic 11,sale new,0.169,Positive,0.197,0.392
talk.politics.misc,Topic 17,evidence claim,0.299,Neutral,0.011,0.481
rec.motorcycles,Topic 12,computer system,0.242,Positive,0.328,0.585
comp.sys.mac.hardware,Topic 13,let put,0.264,Neutral,0.0,0.0
sci.crypt,Topic 10,key government,0.469,Neutral,-0.05,0.25
comp.os.ms-windows.misc,Topic 12,computer system,0.288,Positive,0.186,0.577
sci.space.nasa,Topic 13,let put,0.323,Positive,0.333,0.563
misc.forsale,Topic 13,let put,0.254,Positive,0.171,0.475
politics.mideast.israel,Topic 17,evidence claim,0.278,Positive,0.133,0.537
rec.sport.baseball,Topic 25,homosexual homosexuality,0.339,Positive,0.175,0.489
sport.hockey.nhl,Topic 5,bos van,0.304,Neutral,0.002,0.423
sci.electronics.devices,Topic 12,computer system,0.227,Positive,0.214,0.503
sci.electronics.circuit,Topic 23,power battery,0.219,Neutral,0.0,0.0
sci.med.disease,Topic 17,evidence claim,0.289,Positive,0.161,0.488
rec.autos.buying,Topic 13,let put,0.292,Positive,0.09,0.447
misc.forsale,Topic 9,space earth,0.207,Negative,-0.3,0.6
talk.politics.misc,Topic 30,president of the united states,0.503,Neutral,0.024,0.351
religion.christian.church,Topic 17,evidence claim,0.344,Positive,0.097,0.402
comp.sys.mac.hardware,Topic 13,let put,0.36,Negative,-0.063,0.566
sci.crypt,Topic 10,key government,0.313,Neutral,0.036,0.499
rec.autos.buying,Topic 16,file image,0.371,Positive,0.25,0.633
sci.crypt,Topic 13,let put,0.348,Positive,0.256,0.439
comp.sys.mac.hardware,Topic 11,sale new,0.217,Positive,0.089,0.372
sci.space.nasa,Topic 6,bit point,0.346,Neutral,-0.032,0.661
rec.sport.baseball,Topic 13,let put,0.341,Positive,0.185,0.554
rec.motorcycles,Topic 13,let put,0.436,Neutral,-0.05,0.2
sci.electronics.circuit,Topic 16,file image,0.343,Negative,-0.118,0.603
comp.hardware.drives,Topic 12,computer system,0.398,Positive,0.277,0.43
sci.electronics.devices,Topic 11,sale new,0.324,Positive,0.337,0.513
comp.sys.mac.hardware,Topic 12,computer system,0.308,Positive,0.75,0.675
alt.atheism,Topic 13,let put,0.443,Positive,0.107,0.429
talk.politics.misc,Topic 13,let put,0.327,Positive,0.36,0.445
comp.os.ms-windows.misc,Topic 16,file image,0.304,Neutral,-0.05,0.285
politics.guns.rights,Topic 30,president of the united states,0.565,Neutral,0.008,0.37
comp.hardware.drives,Topic 12,computer system,0.703,Positive,0.21,0.51
rec.motorcycles,Topic 27,bike motorcycle,0.381,Positive,0.125,0.375
sci.electronics.circuit,Topic 12,computer system,0.323,Positive,0.171,0.363
comp.os.ms-windows.misc,Topic 22,window set color,0.358,Positive,0.083,0.558
comp.hardware.drives,Topic 12,computer system,0.299,Positive,0.079,0.506
rec.sport.baseball,Topic 17,evidence claim,0.521,Positive,0.148,0.378
comp.windows.x,Topic 22,window set color,0.292,Neutral,0.0,1.0
rec.autos.buying,Topic 20,mile a car,0.44,Positive,0.231,0.583
talk.religion.misc,Topic 27,bike motorcycle,0.251,Positive,0.342,0.541
sci.med.disease,Topic 13,let put,0.341,Neutral,0.018,0.409
sci.electronics.circuit,Topic 11,sale new,0.24,Positive,0.233,0.167
sci.crypt,Topic 10,key government,0.476,Neutral,0.0,1.0
religion.christian.church,Topic 14,god christian,0.371,Positive,0.092,0.426
misc.forsale,Topic 11,sale new,0.395,Positive,0.185,0.471
sport.hockey.nhl,Topic 26,football player vs. football team,0.3,Positive,0.17,0.72
sci.crypt,Topic 10,key government,0.212,Neutral,0.0,0.0
talk.religion.misc,Topic 17,evidence claim,0.446,Positive,0.227,0.545
rec.sport.baseball,Topic 26,football player vs. football team,0.3,Positive,0.304,0.643
comp.hardware.cpu,Topic 13,let put,0.282,Positive,0.164,0.414
comp.graphics.software,Topic 16,file image,0.378,Positive,0.136,0.455
comp.graphics.software,Topic 16,file image,0.428,Neutral,0.0,0.0
alt.atheism,Topic 13,let put,0.33,Negative,-0.342,0.573
comp.windows.x,Topic 16,file image,0.298,Neutral,0.032,0.378
comp.hardware.cpu,Topic 12,computer system,0.453,Negative,-0.25,0.25
rec.motorcycles,Topic 20,mile a car,0.301,Positive,0.069,0.401
talk.politics.misc,Topic 30,president of the united states,0.596,Neutral,0.0,0.275
comp.os.ms-windows.misc,Topic 12,computer system,0.446,Neutral,0.025,0.203
rec.motorcycles,Topic 13,let put,0.374,Positive,0.199,0.508
sci.med.disease,Topic 28,patient drug,0.484,Positive,0.06,0.539
talk.religion.misc,Topic 14,god christian,0.274,Positive,0.062,0.463
comp.hardware.cpu,Topic 12,computer system,0.434,Positive,0.7,0.6
comp.windows.x,Topic 16,file image,0.397,Positive,0.056,0.473
comp.hardware.cpu,Topic 13,let put,0.445,Positive,0.136,0.411
sci.space.nasa,Topic 9,space earth,0.357,Positive,0.083,0.5
politics.mideast.israel,Topic 13,let put,0.337,Positive,0.104,0.482
religion.christian.bible,Topic 14,god christian,0.408,Positive,0.063,0.43
talk.politics.misc,Topic 13,let put,0.377,Positive,0.333,0.4
rec.sport.baseball,Topic 13,let put,0.368,Negative,-0.064,0.418
comp.sys.mac.hardware,Topic 11,sale new,0.314,Neutral,0.037,0.421
comp.sys.mac.hardware,Topic 13,let put,0.302,Positive,0.25,0.694
sci.space.nasa,Topic 13,let put,0.408,Positive,0.159,0.689
comp.graphics.software,Topic 16,file image,0.418,Positive,0.126,0.395
talk.politics.misc,Topic 17,evidence claim,0.275,Positive,0.112,0.472
sci.crypt,Topic 13,let put,0.425,Positive,0.225,0.504
rec.autos.buying,Topic 6,bit point,0.319,Positive,0.514,0.679
sci.electronics.circuit,Topic 13,let put,0.465,Positive,0.2,0.3
talk.religion.misc,Topic 14,god christian,0.581,Positive,0.193,0.578
comp.os.ms-windows.misc,Topic 22,window set color,0.307,Positive,0.125,0.431
comp.graphics.software,Topic 13,let put,0.279,Positive,0.225,0.65
rec.sport.baseball,Topic 26,football player vs. football team,0.384,Neutral,0.008,0.27
religion.christian.church,Topic 30,president of the united states,0.333,Positive,0.093,0.428
comp.hardware.drives,Topic 12,computer system,0.287,Positive,0.24,0.685
talk.religion.misc,Topic 13,let put,0.73,Positive,0.355,1.0
sci.crypt,Topic 13,let put,0.376,Negative,-0.467,0.9
rec.motorcycles,Topic 13,let put,0.276,Positive,0.6,1.0
religion.christian.church,Topic 14,god christian,0.62,Positive,0.174,0.399
sci.space.nasa,Topic 13,let put,0.311,Negative,-0.35,0.417
sci.crypt,Topic 10,key government,0.515,Negative,-0.075,0.5
talk.religion.misc,Topic 14,god christian,0.36,Positive,0.095,0.376
politics.guns.control,Topic 30,president of the united states,0.465,Positive,0.073,0.448
alt.atheism,Topic 17,evidence claim,0.427,Negative,-0.154,0.496
rec.sport.baseball,Topic 13,let put,0.314,Positive,0.114,0.394
sci.space.nasa,Topic 13,let put,0.194,Positive,0.251,0.516
politics.mideast.arab,Topic 7,israel jew,0.231,Negative,-0.072,0.392
alt.atheism,Topic 17,evidence claim,0.223,Neutral,-0.036,0.497
talk.politics.misc,Topic 13,let put,0.344,Negative,-0.068,0.611
rec.motorcycles,Topic 13,let put,0.451,Negative,-0.157,0.606
misc.forsale,Topic 11,sale new,0.489,Positive,0.058,0.265
religion.christian.church,Topic 14,god christian,0.461,Negative,-0.056,0.64
sci.med.disease,Topic 13,let put,0.423,Positive,0.055,0.6
sci.electronics.circuit,Topic 24,mike and john,0.214,Neutral,0.0,0.0
sci.med.treatment,Topic 13,let put,0.434,Neutral,-0.046,0.593
rec.autos.buying,Topic 13,let put,0.624,Positive,0.247,0.65
rec.sport.baseball,Topic 26,football player vs. football team,0.464,Positive,0.102,0.523
sci.space.astronomy,Topic 13,let put,0.516,Positive,0.567,0.793
comp.os.ms-windows.misc,Topic 13,let put,0.345,Positive,0.113,0.331
politics.guns.control,Topic 4,state law gun,0.328,Neutral,0.0,0.0
misc.forsale,Topic 12,computer system,0.352,Positive,0.254,0.646
comp.graphics.software,Topic 9,space earth,0.24,Positive,0.112,0.443
comp.windows.x,Topic 16,file image,0.176,Positive,0.225,0.318
comp.os.ms-windows.misc,Topic 13,let put,0.187,Positive,0.094,0.451
sci.electronics.circuit,Topic 16,file image,0.542,Neutral,-0.045,0.548
rec.sport.baseball,Topic 26,football player vs. football team,0.53,Negative,-0.201,0.327
comp.hardware.cpu,Topic 13,let put,0.257,Neutral,-0.024,0.202
comp.sys.mac.hardware,Topic 12,computer system,0.211,Negative,-0.26,0.333
misc.forsale,Topic 23,power battery,0.262,Positive,0.177,0.563
comp.os.ms-windows.misc,Topic 12,computer system,0.698,Positive,0.22,0.337
rec.motorcycles,Topic 27,bike motorcycle,0.237,Positive,0.08,0.408
sci.med.disease,Topic 17,evidence claim,0.333,Positive,0.225,0.817
comp.hardware.cpu,Topic 16,file image,0.249,Positive,0.3,0.75
sci.med.disease,Topic 13,let put,0.344,Positive,0.148,0.384
religion.christian.church,Topic 14,god christian,0.547,Negative,-0.083,0.467
rec.motorcycles,Topic 13,let put,0.202,Positive,0.129,0.415
rec.sport.baseball,Topic 24,mike and john,0.319,Neutral,0.017,0.073
talk.politics.misc,Topic 17,evidence claim,0.294,Neutral,-0.023,0.517
talk.religion.misc,Topic 14,god christian,0.445,Positive,0.16,0.423
rec.motorcycles,Topic 7,israel jew,0.527,Positive,0.068,0.727
rec.autos.buying,Topic 20,mile a car,0.251,Positive,0.2,0.328
sci.space.astronomy,Topic 9,space earth,0.74,Positive,0.5,0.5
religion.christian.bible,Topic 13,let put,0.318,Positive,0.46,0.582
misc.forsale,Topic 13,let put,0.439,Neutral,0.0,0.389
sci.space.nasa,Topic 13,let put,0.346,Neutral,-0.036,0.448
rec.sport.baseball,Topic 26,football player vs. football team,0.334,Neutral,0.004,0.454
alt.atheism,Topic 17,evidence claim,0.509,Positive,0.226,0.52
talk.politics.misc,Topic 25,homosexual homosexuality,0.293,Positive,0.24,0.582
comp.os.ms-windows.misc,Topic 16,file image,0.244,Positive,0.075,0.825
politics.mideast.arab,Topic 7,israel jew,0.47,Positive,0.101,0.281
rec.motorcycles,Topic 13,let put,0.452,Positive,0.5,0.889
comp.windows.x,Topic 19,client server,0.183,Negative,-0.075,0.872
sport.hockey.nhl,Topic 13,let put,0.462,Neutral,-0.048,0.542
comp.windows.x,Topic 13,let put,0.281,Neutral,0.0,0.0
rec.motorcycles,Topic 13,let put,0.391,Positive,0.15,0.514
politics.guns.rights,Topic 30,president of the united states,0.374,Positive,0.143,0.768
politics.mideast.israel,Topic 29,subject newsgroups,0.257,Neutral,0.0,0.0
sci.space.nasa,Topic 9,space earth,0.587,Positive,0.102,0.378
sci.med.disease,Topic 28,patient drug,0.453,Neutral,0.036,0.491
sport.hockey.nhl,Topic 26,football player vs. football team,0.342,Neutral,0.038,0.512
talk.religion.misc,Topic 14,god christian,0.474,Negative,-0.078,0.197
comp.graphics.software,Topic 16,file image,0.667,Neutral,0.0,1.0
politics.guns.rights,Topic 30,president of the united states,0.202,Positive,0.225,0.643
sci.med.treatment,Topic 13,let put,0.194,Positive,0.076,0.571
rec.autos.buying,Topic 20,mile a car,0.275,Positive,0.1,0.329
rec.sport.baseball,Topic 13,let put,0.447,Positive,0.161,0.455
sci.crypt,Topic 13,let put,0.456,Neutral,0.029,0.697
rec.sport.baseball,Topic 17,evidence claim,0.27,Positive,0.505,0.7
comp.hardware.drives,Topic 12,computer system,0.385,Positive,0.21,0.696
comp.windows.x,Topic 17,evidence claim,0.302,Neutral,0.05,0.161
politics.mideast.israel,Topic 13,let put,0.522,Positive,0.45,0.625
comp.hardware.drives,Topic 12,computer system,0.289,Neutral,-0.004,0.336
sci.med.treatment,Topic 13,let put,0.483,Positive,0.131,0.48
comp.hardware.drives,Topic 12,computer system,0.46,Positive,0.2,0.2
politics.mideast.israel,Topic 30,president of the united states,0.346,Positive,0.158,0.44
sci.med.treatment,Topic 8,wiki wiki,0.379,Positive,0.187,0.435
politics.guns.control,Topic 4,state law gun,0.215,Positive,0.067,0.472
rec.motorcycles,Topic 13,let put,0.271,Positive,0.21,0.6
comp.sys.mac.hardware,Topic 12,computer system,0.454,Positive,0.075,0.368
comp.sys.mac.hardware,Topic 23,power battery,0.341,Positive,0.119,0.34
politics.guns.control,Topic 13,let put,0.343,Neutral,0.03,0.42
sci.crypt,Topic 10,key government,0.27,Neutral,0.05,0.488
sport.hockey.nhl,Topic 13,let put,0.432,Negative,-0.7,0.667
sci.crypt,Topic 13,let put,0.288,Neutral,0.0,0.0
comp.sys.mac.hardware,Topic 12,computer system,0.321,Positive,0.089,0.556
alt.atheism,Topic 17,evidence claim,0.393,Negative,-0.266,0.597
sport.hockey.general,Topic 26,football player vs. football team,0.522,Negative,-0.103,0.393
religion.christian.church,Topic 13,let put,0.366,Positive,0.107,0.522
rec.motorcycles,Topic 20,mile a car,0.412,Positive,0.217,0.332
alt.atheism,Topic 17,evidence claim,0.471,Negative,-0.071,0.449
sci.electronics.circuit,Topic 13,let put,0.208,Positive,0.5,1.0
rec.sport.baseball,Topic 26,football player vs. football team,0.257,Negative,-0.167,0.333
comp.hardware.drives,Topic 11,sale new,0.287,Neutral,0.035,0.435
comp.graphics.software,Topic 16,file image,0.491,Positive,0.22,0.225
politics.guns.rights,Topic 13,let put,0.402,Neutral,-0.045,0.389
rec.autos.buying,Topic 12,computer system,0.247,Positive,0.161,0.349
comp.graphics.hardware,Topic 16,file image,0.218,Positive,0.159,0.456
comp.graphics.hardware,Topic 16,file image,0.555,Positive,0.083,0.199
politics.mideast.israel,Topic 7,israel jew,0.272,Neutral,-0.038,0.321
politics.mideast.israel,Topic 13,let put,0.455,Positive,0.169,0.534
rec.motorcycles,Topic 13,let put,0.464,Positive,0.543,0.579
comp.sys.mac.hardware,Topic 11,sale new,0.692,Positive,0.178,0.395
talk.religion.misc,Topic 17,evidence claim,0.33,Positive,0.289,0.456
sci.space.nasa,Topic 9,space earth,0.266,Positive,0.143,0.438
comp.os.ms-windows.misc,Topic 12,computer system,0.51,Neutral,0.048,0.437
sci.electronics.devices,Topic 23,power battery,0.285,Neutral,0.008,0.304
politics.guns.control,Topic 13,let put,0.399,Positive,0.06,0.598
sport.hockey.nhl,Topic 13,let put,0.295,Positive,0.117,0.495
sport.hockey.nhl,Topic 27,bike motorcycle,0.269,Neutral,0.0,0.0
politics.guns.control,Topic 30,president of the united states,0.297,Positive,0.212,0.65
comp.windows.x,Topic 22,window set color,0.278,Neutral,-0.025,0.481
alt.atheism,Topic 30,president of the united states,0.345,Neutral,0.05,0.345
comp.graphics.hardware,Topic 12,computer system,0.357,Neutral,0.005,0.251
politics.mideast.arab,Topic 7,israel jew,0.553,Neutral,0.012,0.261
rec.sport.baseball,Topic 26,football player vs. football team,0.36,Neutral,-0.018,0.526
comp.hardware.cpu,Topic 12,computer system,0.769,Positive,0.152,0.447
politics.guns.control,Topic 13,let put,0.332,Positive,0.065,0.576
sci.crypt,Topic 13,let put,0.337,Negative,-0.096,0.608
sci.med.disease,Topic 28,patient drug,0.41,Neutral,-0.013,0.542
sci.crypt,Topic 10,key government,0.281,Neutral,0.0,0.4
sport.hockey.general,Topic 13,let put,0.436,Positive,0.123,0.587
comp.graphics.software,Topic 16,file image,0.195,Positive,0.062,0.297
talk.politics.misc,Topic 30,president of the united states,0.264,Positive,0.104,0.483
rec.sport.baseball,Topic 13,let put,0.422,Positive,0.145,0.492
sci.space.nasa,Topic 9,space earth,0.24,Positive,0.21,0.351
politics.guns.rights,Topic 13,let put,0.497,Positive,0.262,0.429
sci.space.nasa,Topic 13,let put,0.235,Positive,0.168,0.462
